timestamp,x,y,z
10049824465,30.875,43.25,-99.5
10049838890,39.75,44,-99.8125
10049862032,55.375,43.375,-102.562
10049884489,63.0625,39.9375,-103.188
10049898790,46.9375,35,-97.0625
10049921988,23.3125,31.5,-94
10049944476,11.625,33.8125,-95.875
10049958836,22.6875,35.5625,-97.4375
10049981948,36.3125,33.5,-93.8125
10050004480,32.875,29.4375,-86.4375
10050025539,13.8125,24.5,-77.5
10050041999,-7.625,21.5625,-71.9375
10050064481,-13.4375,19.5,-69.4375
10050085648,-7.75,15.5,-67.375
10050102006,1.375,10.25,-61.75
10050124506,-8.4375,5.5625,-61
10050145533,-1.875,-4.5,-47.875
10050162013,24.3125,-4.5,-41.5625
10050184526,41.1875,-11.125,-30.9375
10050206039,29.0625,-15,-21.25
10050221990,5.5625,-8.3125,-9.75
10050244511,10.4375,-13.25,0.75
10050265646,31.875,-15.375,11.6875
10050281993,47.6875,-21.4375,20.375
10050304470,25,-16.5,27.9375
10050325660,-3.375,-13.6875,39.4375
10050342013,-15.1875,-17.375,44.4375
10050364549,-7.875,-21.125,45.25
10050385564,-9.0625,-19.625,41.9375
10050401966,-1.75,-16.75,41.4375
10050424487,-0.4375,-8.5,40.9375
10050445559,2.375,-2.4375,42.4375
10050462006,12.875,-4.6875,44.5
10050484511,23.6875,-7.75,46.375
10050505667,17.0625,-6.125,45.5625
10050522019,6.4375,-3.3125,45.625
10050544456,-4.25,-2.8125,46.3125
10050565614,-13.5,-2.6875,47.25
10050582029,-12.8125,-7.6875,49.75
10050604505,-12.9375,-9.875,47.875
10050627023,-14.8125,-9.8125,44.1875
10050641365,-15.875,-9.25,41.875
10050664511,-13.1875,-8.875,39.9375
10050687050,-7.375,-8.625,36.9375
10050701308,-1.625,-9.125,34.5
10050724523,1.625,-7.0625,30
10050747009,1,-1.5625,27.375
10050761331,8.375,0.4375,26
10050790679,7.0625,0.9375,22.9375
10050807049,3.125,-2.0625,24.375
10050821327,-0.3125,-2.375,18.5625
10050844505,-1.4375,2.9375,17
10050867041,-1,4.0625,13.1875
10050881365,0.6875,4.75,6.25
10050904511,4.1875,7.125,1.625
10050927025,3.4375,6.1875,3.75
10050941372,-3.125,4.75,7.4375
10050964509,-5,3.6875,6.9375
10050986982,-0.8125,1.6875,4.6875
10051001353,1.375,0.9375,1.75
10051024482,0.25,0.8125,1.5
10051047026,-4.8125,1.6875,2.6875
10051068354,-6.3125,2,0.875
10051084572,-3.25,2.125,-0.6875
10051107102,-0.125,2.75,-0.625
10051128217,2,3.3125,-0.5
10051144598,2.25,3.6875,-1.5625
10051167090,4.625,3.375,-2.375
10051188159,4.375,4,-1.75
10051204520,3.0625,4,-0.8125
10051226987,3.375,3.875,0
10051248092,5.9375,3.25,-1
10051264589,7.125,2.5625,-1.75
10051287071,6.0625,2.4375,-2.125
10051308042,4.5,2.5,-2.375
10051324537,2.125,1.6875,-3.1875
10051347084,0.1875,-0.6875,-4.125
10051368270,-3.4375,0.375,-2.75
10051384556,-10.375,-0.9375,-3.125
10051407174,-5.1875,-1.3125,0.4375
10051428231,5.1875,-2.5625,2.5625
10051444673,12.25,-4.625,1.5625
10051467076,8.6875,-3.0625,2.1875
10051488329,4.625,-0.4375,4.125
10051504670,1.375,0.9375,3.625
10051527083,3.4375,0.5625,1.375
10051549633,6.0625,-0.4375,1.125
10051564518,8.375,0.3125,0.8125
10051586986,1.6875,1.0625,2
10051609624,-0.5625,2,1.6875
10051630623,-1.25,1.4375,1
10051647047,0.75,0.9375,0.625
10051669683,-0.0625,0,-0.4375
10051684586,-5.125,-1.125,-0.4375
10051707124,-7.625,-4.4375,0.4375
10051729920,-9.125,-5.3125,1.6875
10051750851,-6.6875,-3.5,1.0625
10051767106,-8.875,-1.3125,-1.75
10051789684,-1.625,-2.25,1
